sent_index	word_index	word	region	plausibility	comma	length
1	0	As	Start	plausible	nocomma	long
1	1	the	the1	plausible	nocomma	long
1	2	woman	NP1	plausible	nocomma	long
1	3	edited	VP1	plausible	nocomma	long
1	4	the	the2	plausible	nocomma	long
1	5	magazine	NP2	plausible	nocomma	long
1	6	about	Ext	plausible	nocomma	long
1	7	fishing	Ext	plausible	nocomma	long
1	8	amused	VP2	plausible	nocomma	long
1	9	all	Rest	plausible	nocomma	long
1	10	the	Rest	plausible	nocomma	long
1	11	reporters.	Rest	plausible	nocomma	long
1	12	<eos>	End	plausible	nocomma	long
1	0	As	Start	implausible	nocomma	long
1	1	the	the1	implausible	nocomma	long
1	2	woman	NP1	implausible	nocomma	long
1	3	sailed	VP1	implausible	nocomma	long
1	4	the	the2	implausible	nocomma	long
1	5	magazine	NP2	implausible	nocomma	long
1	6	about	Ext	implausible	nocomma	long
1	7	fishing	Ext	implausible	nocomma	long
1	8	amused	VP2	implausible	nocomma	long
1	9	all	Rest	implausible	nocomma	long
1	10	the	Rest	implausible	nocomma	long
1	11	reporters.	Rest	implausible	nocomma	long
1	12	<eos>	End	implausible	nocomma	long
1	0	As	Start	plausible	comma	long
1	1	the	the1	plausible	comma	long
1	2	woman	NP1	plausible	comma	long
1	3	edited,	VP1	plausible	comma	long
1	4	the	the2	plausible	comma	long
1	5	magazine	NP2	plausible	comma	long
1	6	about	Ext	plausible	comma	long
1	7	fishing	Ext	plausible	comma	long
1	8	amused	VP2	plausible	comma	long
1	9	all	Rest	plausible	comma	long
1	10	the	Rest	plausible	comma	long
1	11	reporters.	Rest	plausible	comma	long
1	12	<eos>	End	plausible	comma	long
1	0	As	Start	implausible	comma	long
1	1	the	the1	implausible	comma	long
1	2	woman	NP1	implausible	comma	long
1	3	sailed,	VP1	implausible	comma	long
1	4	the	the2	implausible	comma	long
1	5	magazine	NP2	implausible	comma	long
1	6	about	Ext	implausible	comma	long
1	7	fishing	Ext	implausible	comma	long
1	8	amused	VP2	implausible	comma	long
1	9	all	Rest	implausible	comma	long
1	10	the	Rest	implausible	comma	long
1	11	reporters.	Rest	implausible	comma	long
1	12	<eos>	End	implausible	comma	long
2	0	As	Start	plausible	nocomma	long
2	1	the	the1	plausible	nocomma	long
2	2	woman	NP1	plausible	nocomma	long
2	3	sailed	VP1	plausible	nocomma	long
2	4	the	the2	plausible	nocomma	long
2	5	yacht	NP2	plausible	nocomma	long
2	6	that	Ext	plausible	nocomma	long
2	7	was	Ext	plausible	nocomma	long
2	8	damaged	Ext	plausible	nocomma	long
2	9	crossed	VP2	plausible	nocomma	long
2	10	the	Rest	plausible	nocomma	long
2	11	bay	Rest	plausible	nocomma	long
2	12	rather	Rest	plausible	nocomma	long
2	13	slowly.	Rest	plausible	nocomma	long
2	14	<eos>	End	plausible	nocomma	long
2	0	As	Start	implausible	nocomma	long
2	1	the	the1	implausible	nocomma	long
2	2	woman	NP1	implausible	nocomma	long
2	3	edited	VP1	implausible	nocomma	long
2	4	the	the2	implausible	nocomma	long
2	5	yacht	NP2	implausible	nocomma	long
2	6	that	Ext	implausible	nocomma	long
2	7	was	Ext	implausible	nocomma	long
2	8	damaged	Ext	implausible	nocomma	long
2	9	crossed	VP2	implausible	nocomma	long
2	10	the	Rest	implausible	nocomma	long
2	11	bay	Rest	implausible	nocomma	long
2	12	rather	Rest	implausible	nocomma	long
2	13	slowly.	Rest	implausible	nocomma	long
2	14	<eos>	End	implausible	nocomma	long
2	0	As	Start	plausible	comma	long
2	1	the	the1	plausible	comma	long
2	2	woman	NP1	plausible	comma	long
2	3	sailed,	VP1	plausible	comma	long
2	4	the	the2	plausible	comma	long
2	5	yacht	NP2	plausible	comma	long
2	6	that	Ext	plausible	comma	long
2	7	was	Ext	plausible	comma	long
2	8	damaged	Ext	plausible	comma	long
2	9	crossed	VP2	plausible	comma	long
2	10	the	Rest	plausible	comma	long
2	11	bay	Rest	plausible	comma	long
2	12	rather	Rest	plausible	comma	long
2	13	slowly.	Rest	plausible	comma	long
2	14	<eos>	End	plausible	comma	long
2	0	As	Start	implausible	comma	long
2	1	the	the1	implausible	comma	long
2	2	woman	NP1	implausible	comma	long
2	3	edited,	VP1	implausible	comma	long
2	4	the	the2	implausible	comma	long
2	5	yacht	NP2	implausible	comma	long
2	6	that	Ext	implausible	comma	long
2	7	was	Ext	implausible	comma	long
2	8	damaged	Ext	implausible	comma	long
2	9	crossed	VP2	implausible	comma	long
2	10	the	Rest	implausible	comma	long
2	11	bay	Rest	implausible	comma	long
2	12	rather	Rest	implausible	comma	long
2	13	slowly.	Rest	implausible	comma	long
2	14	<eos>	End	implausible	comma	long
3	0	After	Start	plausible	nocomma	long
3	1	the	the1	plausible	nocomma	long
3	2	judge	NP1	plausible	nocomma	long
3	3	decided	VP1	plausible	nocomma	long
3	4	the	the2	plausible	nocomma	long
3	5	verdict	NP2	plausible	nocomma	long
3	6	of	Ext	plausible	nocomma	long
3	7	the	Ext	plausible	nocomma	long
3	8	trial	Ext	plausible	nocomma	long
3	9	caught	VP2	plausible	nocomma	long
3	10	the	Rest	plausible	nocomma	long
3	11	old	Rest	plausible	nocomma	long
3	12	man's	Rest	plausible	nocomma	long
3	13	attention.	Rest	plausible	nocomma	long
3	14	<eos>	End	plausible	nocomma	long
3	0	After	Start	implausible	nocomma	long
3	1	the	the1	implausible	nocomma	long
3	2	judge	NP1	implausible	nocomma	long
3	3	packed	VP1	implausible	nocomma	long
3	4	the	the2	implausible	nocomma	long
3	5	verdict	NP2	implausible	nocomma	long
3	6	of	Ext	implausible	nocomma	long
